CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
TMG 2378 IPRO,Control,3,100,14.0,10.9,24.9,41.8,13.5,55.3
TMG 2378 IPRO,Control,4,96,14.8,11.6,26.4,44.2,11.2,55.4
TMG 2381 IPRO,Control,1,100,15.9,16.9,32.8,54.6,14.6,69.3
TMG 2381 IPRO,Control,2,100,18.1,15.6,33.7,62.5,15.0,77.5
TMG 2381 IPRO,Control,3,100,18.5,18.7,37.2,54.8,16.8,71.6
TMG 2381 IPRO,Control,4,100,17.9,14.5,32.4,53.4,14.3,67.7
TMG 7061 IPRO,Control,1,100,11.0,10.3,21.3,48.0,21.1,69.1
TMG 7061 IPRO,Control,2,96,12.0,10.4,22.4,47.6,17.0,64.6
TMG 7061 IPRO,Control,3,96,10.3,10.2,20.5,37.9,18.4,56.3
TMG 7061 IPRO,Control,4,100,12.9,10.6,23.5,43.7,17.6,61.3
TMG 7063 IPRO,Control,1,92,11.8,7.9,19.7,34.3,18.4,52.7
TMG 7063 IPRO,Control,2,84,10.8,7.7,18.5,36.9,13.4,50.3
TMG 7063 IPRO,Control,3,88,12.0,9.4,21.4,38.2,16.9,55.0
TMG 7063 IPRO,Control,4,80,13.3,9.0,22.3,37.4,15.1,52.5
TMG 7067 IPRO,Control,1,100,16.6,9.1,25.6,54.2,17.8,71.9
TMG 7067 IPRO,Control,2,100,14.6,9.6,24.2,51.9,18.2,70.1
TMG 7067 IPRO,Control,3,100,15.5,10.7,26.1,43.6,18.1,61.7
TMG 7067 IPRO,Control,4,100,13.8,11.0,24.8,49.6,17.7,67.2
TMG 716 RR,Control,1,100,21.4,12.9,34.3,56.2,20.6,76.8
TMG 716 RR,Control,2,100,17.5,13.9,31.4,46.0,18.6,64.5
TMG 716 RR,Control,3,100,17.5,16.3,33.8,46.7,17.2,63.9
TMG 716 RR,Control,4,100,18.7,14.1,32.8,49.9,19.2,69.1
5D 615 RR,Drought,1,96,2.1,9.9,12.0,3.5,14.7,18.2
5D 615 RR,Drought,2,94,1.9,11.2,13.1,3.0,14.0,16.9
5D 615 RR,Drought,3,92,2.0,13.2,15.2,3.1,14.1,17.2
5D 615 RR,Drought,4,92,2.0,11.1,13.1,3.6,14.0,17.6
5D 6215 IPRO,Drought,1,96,4.6,11.0,15.6,6.0,12.9,18.9
5D 6215 IPRO,Drought,2,92,2.8,9.7,12.5,4.7,15.1,19.8
5D 6215 IPRO,Drought,3,88,3.8,9.1,12.9,5.4,14.2,19.6
5D 6215 IPRO,Drought,4,100,3.8,9.5,13.3,5.8,12.8,18.5
5D 690 RR,Drought,1,68,2.8,10.0,12.8,4.4,11.1,15.6
5D 690 RR,Drought,2,76,2.5,12.8,15.3,4.6,15.4,20.1
5D 690 RR,Drought,3,68,2.6,11.3,14.0,4.1,13.9,17.9
5D 690 RR,Drought,4,70,3.5,10.8,14.3,5.5,14.0,19.4
5G 770 RR,Drought,1,92,2.9,15.2,18.1,4.0,15.3,19.3
5G 770 RR,Drought,2,84,2.7,18.4,21.1,3.2,17.1,20.3
5G 770 RR,Drought,3,92,2.8,18.2,21.0,3.4,18.7,22.1
5G 770 RR,Drought,4,92,3.0,18.0,21.0,4.2,17.4,21.6
5G 830 RR,Drought,1,92,4.1,8.6,12.7,6.3,11.4,17.7
5G 830 RR,Drought,2,100,4.5,9.8,14.3,6.1,12.2,18.3
5G 830 RR,Drought,3,100,4.2,11.5,15.7,5.7,14.6,20.3
