CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
FPS Jupiter RR,Saline,2,92,7.4,7.7,15.1,26.8,11.2,38.0
FPS Jupiter RR,Saline,3,96,7.2,7.6,14.8,29.1,10.9,40.1
FPS Jupiter RR,Saline,4,92,7.8,6.9,14.6,29.0,11.0,40.0
FPS Netuno RR,Saline,1,80,4.9,4.0,8.9,25.2,8.3,33.5
FPS Netuno RR,Saline,2,88,7.1,4.7,11.8,24.8,10.4,35.2
FPS Netuno RR,Saline,3,84,7.0,5.2,12.2,26.1,11.2,37.2
FPS Netuno RR,Saline,4,88,6.3,4.6,10.8,22.7,10.2,32.9
FPS Paranapanema RR,Saline,1,84,5.1,5.7,10.8,26.8,11.8,38.5
FPS Paranapanema RR,Saline,2,96,5.5,6.7,12.2,24.8,10.8,35.5
FPS Paranapanema RR,Saline,3,80,7.1,7.2,14.3,29.3,12.7,41.9
FPS Paranapanema RR,Saline,4,88,7.3,6.6,13.9,28.8,11.2,40.0
FPS solar IPRO,Saline,1,92,5.8,5.2,11.0,26.7,12.2,38.9
FPS solar IPRO,Saline,2,84,7.4,7.0,14.4,28.5,14.3,42.8
FPS solar IPRO,Saline,3,80,7.3,7.5,14.8,29.9,14.4,44.3
FPS solar IPRO,Saline,4,88,7.1,7.1,14.2,27.5,15.0,42.5
FPS Solimoes RR,Saline,1,80,7.1,8.1,15.2,29.9,13.6,43.5
FPS Solimoes RR,Saline,2,88,9.0,8.3,17.3,32.3,15.0,47.3
FPS Solimoes RR,Saline,3,96,8.8,10.0,18.8,31.1,15.1,46.2
FPS Solimoes RR,Saline,4,88,6.1,8.0,14.1,28.9,14.3,43.2
FPS Urano RR,Saline,1,84,5.6,7.7,13.3,28.0,15.1,43.1
FPS Urano RR,Saline,2,80,6.5,9.7,16.2,29.6,18.1,47.7
FPS Urano RR,Saline,3,80,6.1,7.8,13.9,27.0,14.7,41.7
FPS Urano RR,Saline,4,92,6.2,8.4,14.6,27.6,15.3,42.9
HO Cristalina IPRO,Saline,1,72,5.6,5.9,11.5,22.5,10.4,32.8
HO Cristalina IPRO,Saline,2,76,5.1,6.4,11.4,21.1,14.5,35.5
HO Cristalina IPRO,Saline,3,72,6.0,7.1,13.1,23.1,11.1,34.2
HO Cristalina IPRO,Saline,4,76,5.6,7.1,12.7,24.1,13.9,38.0
HO Maracai IPRO,Saline,1,64,4.8,8.3,13.1,32.3,13.1,45.5
HO Maracai IPRO,Saline,2,68,5.2,9.2,14.4,41.9,16.6,58.5
HO Maracai IPRO,Saline,3,64,6.3,9.9,16.2,36.5,19.0,55.4
HO Maracai IPRO,Saline,4,68,4.3,6.2,10.6,35.3,23.3,58.6
HO Paranaiba IPRO,Saline,1,64,4.6,5.8,10.3,24.2,12.5,36.7
HO Paranaiba IPRO,Saline,2,64,4.8,5.8,10.6,21.3,11.8,33.1
HO Paranaiba IPRO,Saline,3,72,5.0,4.6,9.6,21.7,10.8,32.5
HO Paranaiba IPRO,Saline,4,76,4.9,5.4,10.3,24.3,12.2,36.5
LG 60163 IPRO,Saline,1,84,7.4,9.7,17.1,33.1,16.3,49.4
LG 60163 IPRO,Saline,2,68,7.6,8.5,16.0,34.6,16.7,51.3
LG 60163 IPRO,Saline,3,84,6.6,8.5,15.1,36.4,17.4,53.8
LG 60163 IPRO,Saline,4,76,7.6,8.1,15.7,34.2,16.5,50.7
LG 60177 IPRO,Saline,1,68,6.3,8.9,15.2,28.0,12.1,40.1
LG 60177 IPRO,Saline,2,80,8.4,8.9,17.3,30.3,14.6,44.9
LG 60177 IPRO,Saline,3,92,8.9,9.1,18.0,29.6,13.9,43.6
LG 60177 IPRO,Saline,4,84,6.6,7.2,13.8,26.3,11.0,37.3
M5917 IPRO,Saline,1,84,8.1,11.3,19.4,40.2,13.0,53.2
M5917 IPRO,Saline,2,92,8.8,12.9,21.6,39.8,14.9,54.7
M5917 IPRO,Saline,3,88,8.9,11.2,20.1,35.5,15.1,50.6
M5917 IPRO,Saline,4,84,9.6,11.0,20.6,41.0,13.5,54.5
M7110 IPRO,Saline,1,84,4.8,4.4,9.2,21.2,10.7,31.9
M7110 IPRO,Saline,2,92,5.7,4.6,10.3,24.2,11.2,35.4
M7110 IPRO,Saline,3,100,6.1,5.2,11.3,21.9,11.2,33.1
M7110 IPRO,Saline,4,92,5.3,4.0,9.3,19.8,9.9,29.8
NS 5106 IPRO,Saline,1,88,4.5,4.4,8.9,29.2,12.5,41.7
NS 5106 IPRO,Saline,2,76,5.5,5.1,10.6,25.2,12.5,37.7
NS 5106 IPRO,Saline,3,80,5.3,4.7,10.0,27.6,12.0,39.6
NS 5106 IPRO,Saline,4,84,5.3,4.1,9.4,28.2,10.9,39.1
NS 5151 IPRO,Saline,1,76,5.0,6.0,11.0,28.8,14.4,43.2
NS 5151 IPRO,Saline,2,96,7.4,6.8,14.2,30.0,15.5,45.5
NS 5151 IPRO,Saline,3,80,6.9,6.7,13.6,29.0,12.8,41.8
NS 5151 IPRO,Saline,4,100,7.2,8.0,15.2,28.2,14.6,42.8
NS 5909 RG,Saline,1,56,4.6,4.5,9.1,21.6,9.7,31.3
NS 5909 RG,Saline,2,56,6.2,4.3,10.5,22.2,11.7,33.9
NS 5909 RG,Saline,3,60,5.8,4.7,10.5,24.6,12.7,37.3
NS 5909 RG,Saline,4,64,5.6,3.9,9.5,22.0,10.0,32.0
NS 5959 IPRO,Saline,1,84,5.8,4.1,9.9,35.7,7.9,43.6
NS 5959 IPRO,Saline,2,84,6.8,4.9,11.7,31.9,9.1,40.9
NS 5959 IPRO,Saline,3,88,6.2,4.3,10.5,33.2,8.1,41.3
NS 5959 IPRO,Saline,4,72,6.2,4.4,10.6,28.6,7.2,35.8
NS 6909 IPRO,Saline,1,60,5.8,4.2,10.0,26.9,9.7,36.6
NS 6909 IPRO,Saline,2,72,7.1,6.2,13.3,30.5,10.8,41.3
NS 6909 IPRO,Saline,3,64,6.6,4.9,11.5,26.9,9.3,36.2
NS 6909 IPRO,Saline,4,68,7.1,5.0,12.1,27.3,9.1,36.4
NS 7000 IPRO,Saline,1,68,7.1,6.5,13.6,32.3,14.6,46.9
NS 7000 IPRO,Saline,2,60,5.1,5.9,11.0,32.4,12.7,45.1
NS 7000 IPRO,Saline,3,56,7.0,5.8,12.8,32.1,12.3,44.4
NS 7000 IPRO,Saline,4,72,7.3,7.3,14.7,32.9,13.7,46.5
NS 7007 IPRO,Saline,1,88,7.9,9.3,17.2,37.1,14.0,51.1
NS 7007 IPRO,Saline,2,88,7.8,10.0,17.8,40.6,19.8,60.4
NS 7007 IPRO,Saline,3,92,9.5,10.9,20.4,43.0,15.3,58.4
NS 7007 IPRO,Saline,4,88,7.2,12.7,19.9,41.4,14.0,55.3
NS 7209 IPRO,Saline,1,76,6.2,6.0,12.2,31.7,9.2,40.9
NS 7209 IPRO,Saline,2,80,7.1,6.9,14.0,32.9,10.9,43.8
NS 7209 IPRO,Saline,3,80,7.8,7.0,14.8,34.3,11.7,46.0
NS 7209 IPRO,Saline,4,72,6.4,6.2,12.6,33.0,11.4,44.3
NS 7300 IPRO,Saline,1,100,8.0,6.7,14.7,33.2,10.7,43.9
NS 7300 IPRO,Saline,2,92,6.4,6.9,13.3,34.9,13.1,48.0
NS 7300 IPRO,Saline,3,92,5.8,7.5,13.3,33.6,11.6,45.2
NS 7300 IPRO,Saline,4,96,6.6,7.8,14.4,36.7,12.5,49.3
NS 7338 IPRO,Saline,1,68,6.8,4.3,11.1,32.6,8.8,41.4
NS 7338 IPRO,Saline,2,76,7.7,5.6,13.3,37.2,10.0,47.2
NS 7338 IPRO,Saline,3,84,7.7,6.5,14.2,42.0,11.9,53.9
NS 7338 IPRO,Saline,4,72,7.2,5.3,12.5,35.0,9.7,44.7
NS 7505 IPRO,Saline,1,72,5.0,5.8,10.8,23.2,9.5,32.7
NS 7505 IPRO,Saline,2,72,5.0,5.7,10.7,26.4,9.2,35.6
NS 7505 IPRO,Saline,3,76,5.6,6.1,11.7,27.3,10.7,38.0
NS 7505 IPRO,Saline,4,68,4.3,5.5,9.8,31.0,8.4,39.3
NS 8399 IPRO,Saline,1,76,4.8,5.8,10.5,16.1,13.6,29.6
NS 8399 IPRO,Saline,2,80,3.3,5.7,9.0,14.9,10.5,25.4
NS 8399 IPRO,Saline,3,72,3.5,6.3,9.8,15.2,12.3,27.5
NS 8399 IPRO,Saline,4,80,3.4,6.6,10.0,15.1,12.5,27.6
RK 5813 RR,Saline,1,92,7.4,6.4,13.8,37.3,10.0,47.2
RK 5813 RR,Saline,2,88,8.6,7.9,16.5,36.0,11.9,47.9
RK 5813 RR,Saline,3,96,9.6,7.9,17.5,41.5,12.2,53.7
RK 5813 RR,Saline,4,92,7.6,7.7,15.3,38.7,11.7,50.4
RK 6316 RR,Saline,1,84,6.1,4.2,10.3,28.1,7.7,35.8
RK 6316 RR,Saline,2,92,7.6,5.4,13.0,31.0,9.0,40.0
RK 6316 RR,Saline,3,84,8.4,6.2,14.6,30.5,10.1,40.6
RK 6316 RR,Saline,4,80,8.8,5.7,14.5,33.1,10.5,43.6
RK 6719 IPRO,Saline,1,92,7.2,10.5,17.7,31.6,15.0,46.6
RK 6719 IPRO,Saline,2,92,8.7,11.3,20.0,34.2,16.4,50.7
RK 6719 IPRO,Saline,3,96,6.7,11.3,18.0,30.0,16.8,46.9
RK 6719 IPRO,Saline,4,96,8.3,10.0,18.3,33.0,17.1,50.1
RK 6813 RR,Saline,1,92,9.3,8.4,17.7,32.6,11.5,44.1
RK 6813 RR,Saline,2,100,10.0,11.1,21.1,36.7,12.5,49.2
RK 6813 RR,Saline,3,100,9.6,7.2,16.8,36.8,9.5,46.3
RK 6813 RR,Saline,4,92,10.3,11.0,21.3,37.5,11.9,49.4
RK 7214 IPRO,Saline,1,80,8.0,8.5,16.5,35.8,11.9,47.7
RK 7214 IPRO,Saline,2,80,7.9,9.0,16.9,35.8,13.8,49.5
RK 7214 IPRO,Saline,3,84,7.0,7.6,14.6,33.6,10.9,44.5
RK 7214 IPRO,Saline,4,72,7.3,6.5,13.8,35.3,11.7,47.0
RK 7518 IPRO,Saline,1,76,6.8,6.8,13.6,27.2,16.4,43.6
RK 7518 IPRO,Saline,2,80,8.2,7.5,15.7,27.6,14.3,41.9
RK 7518 IPRO,Saline,3,84,7.9,6.1,14.0,30.6,14.4,45.0
RK 7518 IPRO,Saline,4,84,7.1,6.3,13.4,28.1,14.6,42.7
RK 8115 IPRO,Saline,1,88,7.6,11.3,18.9,35.9,16.8,52.8
RK 8115 IPRO,Saline,2,76,7.7,10.3,18.0,37.7,14.7,52.3
RK 8115 IPRO,Saline,3,80,7.4,11.0,18.4,36.8,17.9,54.7
RK 8115 IPRO,Saline,4,76,7.8,10.3,18.1,35.2,15.9,51.1
RK 8317 IPRO,Saline,1,72,6.4,4.6,11.0,28.7,5.6,34.3
RK 8317 IPRO,Saline,2,76,5.0,4.7,9.7,23.1,5.0,28.1
RK 8317 IPRO,Saline,3,76,6.5,4.1,10.6,23.8,7.9,31.7
RK 8317 IPRO,Saline,4,80,6.3,5.7,12.0,30.6,7.0,37.7
ST 777 IPRO,Saline,1,92,9.2,10.7,19.9,27.9,10.0,37.9
ST 777 IPRO,Saline,2,84,9.7,9.7,19.4,24.7,9.4,34.1
ST 777 IPRO,Saline,3,92,9.4,10.1,19.5,28.5,11.1,39.6
ST 777 IPRO,Saline,4,84,8.6,10.8,19.4,26.8,11.9,38.7
ST 797 IPRO,Saline,1,92,7.4,11.6,19.0,28.6,13.9,42.5
ST 797 IPRO,Saline,2,96,8.3,12.8,21.1,32.0,12.9,44.8
ST 797 IPRO,Saline,3,96,7.9,13.5,21.4,29.0,15.0,43.9
ST 797 IPRO,Saline,4,96,6.2,11.9,18.1,33.1,12.8,45.9
SYN 13610 IPRO,Saline,1,80,7.3,5.0,12.3,29.2,13.8,43.0
SYN 13610 IPRO,Saline,2,72,7.7,5.8,13.4,29.3,12.6,41.9
SYN 13610 IPRO,Saline,3,88,7.1,4.9,12.0,28.8,13.1,41.9
SYN 13610 IPRO,Saline,4,68,6.6,4.3,10.9,26.8,11.6,38.4
TMG 2165 IPRO,Saline,1,72,9.0,9.9,18.9,28.6,15.0,43.6
TMG 2165 IPRO,Saline,2,84,8.3,10.4,18.7,30.5,15.8,46.3
TMG 2165 IPRO,Saline,3,88,7.0,10.0,17.0,26.5,15.3,41.7
TMG 2165 IPRO,Saline,4,80,8.8,11.1,19.9,29.5,16.3,45.8
TMG 2378 IPRO,Saline,1,92,5.4,7.1,12.5,30.0,10.6,40.6
TMG 2378 IPRO,Saline,2,84,7.8,7.7,15.5,29.7,9.4,39.1
TMG 2378 IPRO,Saline,3,88,7.6,8.2,15.8,28.8,11.6,40.4
TMG 2378 IPRO,Saline,4,92,7.3,7.3,14.6,34.7,11.3,46.0
TMG 2381 IPRO,Saline,1,84,7.8,9.5,17.3,35.5,11.5,47.0
TMG 2381 IPRO,Saline,2,88,7.9,8.1,16.0,33.6,13.4,47.1
TMG 2381 IPRO,Saline,3,92,8.0,7.9,15.9,35.2,11.7,46.9
TMG 2381 IPRO,Saline,4,84,8.4,8.5,16.9,33.8,12.5,46.3
TMG 7061 IPRO,Saline,1,88,5.9,6.5,12.4,27.2,19.3,46.5
TMG 7061 IPRO,Saline,2,76,4.9,5.1,10.0,24.3,20.3,44.5
TMG 7061 IPRO,Saline,3,84,4.9,6.3,11.2,23.3,19.2,42.6
TMG 7061 IPRO,Saline,4,84,5.3,5.6,10.9,31.1,15.5,46.6
TMG 7063 IPRO,Saline,1,76,6.2,6.7,12.9,31.0,16.3,47.3
TMG 7063 IPRO,Saline,2,76,5.0,6.2,11.2,24.6,18.4,42.9
TMG 7063 IPRO,Saline,3,80,5.0,4.8,9.8,24.4,16.8,41.2
TMG 7063 IPRO,Saline,4,76,4.4,5.4,9.8,30.0,14.8,44.8
TMG 7067 IPRO,Saline,1,96,7.4,6.6,14.0,37.5,21.7,59.2
TMG 7067 IPRO,Saline,2,76,8.8,6.5,15.3,35.4,24.0,59.4
TMG 7067 IPRO,Saline,3,88,8.3,8.2,16.5,38.5,20.0,58.5
TMG 7067 IPRO,Saline,4,92,7.3,7.9,15.2,33.5,19.6,53.1
TMG 716 RR,Saline,1,88,8.6,7.9,16.5,35.3,14.3,49.5
TMG 716 RR,Saline,2,96,7.6,10.2,17.8,34.8,16.8,51.6
TMG 716 RR,Saline,3,96,6.8,10.4,17.2,34.5,14.9,49.4
TMG 716 RR,Saline,4,88,8.2,7.5,15.7,33.7,13.0,46.7
